custid,dropperc,KPI_DeviceSat,mins,consecmonths,income,KPI_NetworkQual,dataperc,long,age,datause,bill,calls,education,servcalls,dataplan,kids,churn_Y
170275,0.019559902200489,0.0127886674944387,409,19,90.6,0.549088394,0.55615234375,29,36,1139,117.71,110,11,0,2048,0,0
187187,0.0391061452513966,0.014617283448146,358,30,93.0,0.6952925190000001,0.21826171875,18,44,894,108.77,60,10,0,4096,1,1
837617,0.0222222222222222,0.0104932132125778,450,35,47.1,0.595898673,0.0,27,45,0,84.16,75,9,0,6144,4,0
3651,0.0189393939393939,0.0152146751178284,528,25,53.2,0.373971178,0.5673828125,27,38,1162,123.14,73,11,0,2048,0,0
788090,0.013986013986014,0.0051289071037109715,429,11,77.9,0.465253994,0.125244140625,23,40,513,129.66,48,10,0,4096,0,0
960071,0.0206422018348624,0.0112057710218504,436,20,74.6,0.5766812729999999,0.248209635416667,26,51,1525,171.15,49,9,0,6144,3,0
175256,0.0155555555555556,0.0266391357889785,450,17,61.3,0.8077399609999999,0.166259765625,26,55,681,53.26,21,10,0,4096,1,0
431954,0.0256410256410256,0.0109556714683646,429,34,87.9,0.6952925190000001,0.321044921875,21,46,1315,131.65,79,11,0,4096,0,0
931354,0.00896860986547085,0.00899861673854725,446,22,57.0,0.504723331,0.232259114583333,25,49,1427,51.42,86,12,0,6144,1,0
225731,0.0273972602739726,0.0215072462962018,438,19,65.3,0.206129064,0.3818359375,22,41,1564,123.62,40,9,0,4096,0,0
529805,0.0166666666666667,0.0177307051701464,660,30,94.4,0.467185722,0.185791015625,42,28,761,52.37,37,9,0,4096,3,0
389543,0.0130505709624796,0.0126940727545609,613,23,69.7,0.180675803,0.5732421875,34,31,1174,118.8,128,10,0,2048,1,0
681631,0.0223325062034739,0.0143131396451026,403,26,64.5,0.753356481,0.08251953125,20,50,338,115.05,59,13,0,4096,1,0
38282,0.0167714884696017,0.0249315909609829,477,35,50.8,0.531512605,0.09765625,24,44,400,119.68,62,9,0,4096,0,0
755553,0.0185810810810811,0.0145712177882126,592,42,95.7,0.688403005,0.203125,31,36,416,92.34,60,12,0,2048,1,0
217272,0.0202205882352941,0.00618422756189086,544,36,75.0,0.740149873,0.11572265625,28,58,237,100.17,113,10,0,2048,0,0
883925,0.0290556900726392,0.0135030241005358,413,24,93.4,0.303557093,0.90380859375,23,39,1851,147.18,61,6,0,2048,2,0
686299,0.018348623853211003,0.0262715693590163,436,11,64.0,0.676293785,0.209716796875,22,43,859,138.43,88,9,0,4096,1,0
239143,0.0157068062827225,0.0198906224209987,573,40,65.6,0.649688725,0.3173828125,29,46,1300,117.27,36,9,0,4096,2,0
845228,0.015695067264574,0.0169681531783012,446,41,42.1,0.666347695,0.5966796875,25,42,1222,74.87,76,11,0,2048,1,0
38606,0.0210325047801147,0.0161968976019669,523,35,94.2,0.6453962520000001,0.069580078125,30,48,285,169.38,66,9,0,4096,1,0
251767,0.0138888888888889,0.0150525611137289,504,35,58.2,0.72866274,0.56591796875,26,40,1159,96.28,85,8,0,2048,1,0
402421,0.0416666666666667,0.0260222854541485,264,31,86.1,0.771366181,0.2578125,30,27,528,123.41,69,8,0,2048,2,1
366585,0.0195227765726681,0.0112940965325397,461,10,74.1,0.206129064,0.375,25,50,768,100.59,89,5,0,2048,2,0
750705,0.025462962962963,0.0127955337114912,432,30,77.7,0.7022373940000001,0.270263671875,22,58,1107,138.32,118,10,0,4096,1,0
205278,0.0199115044247788,0.0219791319383609,452,23,59.9,0.7140736990000001,0.54248046875,23,40,1111,104.88,48,9,0,2048,2,0
980934,0.0180327868852459,0.00635021153401722,610,24,70.4,0.82300172,0.156005859375,32,50,639,111.0,86,5,0,4096,2,0
350004,0.0188034188034188,0.0211221699700944,585,28,89.2,0.494816793,0.47802734375,29,54,979,143.23,42,12,0,2048,0,0
752743,0.0143626570915619,0.0197460252346039,557,23,52.9,0.457870484,0.0418294270833333,33,35,257,123.26,57,14,0,6144,1,0
35331,0.0138888888888889,0.0190168922989248,504,21,71.0,0.699822899,0.17236328125,31,49,1059,126.73,65,7,0,6144,1,0
847461,0.0254237288135593,0.0163873805873374,472,14,61.0,0.68596116,0.47021484375,26,40,963,98.31,85,10,0,2048,1,0
312852,0.0404984423676012,0.0256444088386974,321,18,89.8,0.696959938,0.02685546875,18,28,110,138.24,88,9,0,4096,0,0
115036,0.0223048327137546,0.00774946541519262,538,37,74.6,0.469283276,0.261962890625,46,56,1073,181.59,86,11,0,4096,0,0
324186,0.0122448979591837,0.00974354132524907,490,24,52.6,0.563376754,0.09033203125,24,30,370,102.84,91,12,0,4096,2,0
508568,0.026431718061674,0.0188979550702521,454,37,71.5,0.7603546409999999,0.4443359375,24,45,910,95.81,101,9,0,2048,1,0
561259,0.0190839694656489,0.0072529625650111906,524,35,81.3,0.7603546409999999,0.0,43,42,0,123.61,78,11,0,4096,2,0
507662,0.0241635687732342,0.0168241371211963,538,18,81.2,0.8077399609999999,0.09521484375,27,28,585,61.94,63,10,0,6144,1,0
367914,0.0206896551724138,0.0163216841759724,435,14,46.0,0.206129064,0.234130859375,23,46,959,103.94,85,7,0,4096,2,0
882062,0.016366612111293,0.0207137254833204,611,22,43.5,0.476305609,0.034912109375,46,54,143,115.04,29,10,0,4096,2,0
361748,0.0119047619047619,0.0182227375877674,588,41,67.4,0.52729759,0.0,36,56,0,73.62,90,11,0,4096,2,0
791383,0.0230769230769231,0.0300647416660119,520,27,90.8,0.494816793,0.2099609375,28,35,860,94.39,62,11,0,4096,1,1
359442,0.0298507462686567,0.0208877966798405,402,25,84.4,0.72642769,0.0,23,56,0,122.14,58,7,0,4096,1,1
117110,0.0175879396984925,0.0266266852243628,398,19,70.3,0.736806298,0.55322265625,20,37,1133,163.86,84,9,0,2048,1,0
581468,0.0146252285191956,0.0218853032923,547,43,83.9,0.83990507,0.04345703125,29,38,178,101.09,59,10,0,4096,1,0
519609,0.0146443514644351,0.00672370935228209,478,16,35.8,0.699822899,0.1904296875,41,40,390,93.32,43,9,0,2048,1,0
399473,0.0148809523809524,0.0147652665156681,672,21,51.7,0.7603546409999999,0.29541015625,34,39,1210,143.19,98,7,0,4096,1,0
456826,0.020703933747412,0.017064765753221,483,31,69.1,0.649688725,0.143798828125,26,39,589,145.19,96,7,0,4096,0,0
899093,0.0188034188034188,0.0209628357788087,585,31,56.5,0.280732339,0.119791666666667,37,45,736,85.87,85,9,0,6144,0,0
433140,0.028169014084507005,0.0171781316669764,355,28,32.6,0.771366181,0.37890625,18,46,776,71.17,68,7,0,2048,0,0
981797,0.0072202166064982,0.0233235173910347,554,19,47.5,0.586984301,0.74072265625,30,48,1517,131.06,78,9,0,2048,2,0
835501,0.0153846153846154,0.0117610219076033,585,24,82.3,0.856387665,0.118326822916667,30,38,727,111.07,52,8,0,6144,0,0
602693,0.0162454873646209,0.0184892029276896,554,20,97.4,0.549088394,0.333251953125,30,26,1365,126.84,34,12,0,4096,4,0
161441,0.0165745856353591,0.0268079135489895,543,31,61.3,0.710411481,0.01708984375,27,53,105,133.9,47,10,0,6144,2,0
471419,0.0211946050096339,0.0192346884307906,519,28,77.4,0.180675803,0.11767578125,41,44,723,170.42,52,7,0,6144,1,0
929943,0.0134099616858238,0.0225833776150401,522,31,65.0,0.373971178,0.188639322916667,29,38,1159,72.17,38,5,0,6144,3,0
901118,0.0153550863723608,0.0125017683454864,521,33,62.2,0.622294372,0.40869140625,26,39,837,111.9,68,10,0,2048,0,0
764298,0.0349794238683128,0.0169619416267661,486,20,70.3,0.637194809,0.6162109375,30,30,1262,162.83,60,12,0,2048,0,0
511811,0.0321543408360129,0.0223059550977285,311,20,53.9,0.535241194,0.0909830729166667,19,45,559,131.74,56,9,0,6144,1,0
724567,0.0231362467866324,0.00812181761394875,389,38,19.9,0.477337418,0.178466796875,32,26,731,120.27,102,9,0,4096,0,0
799449,0.0174672489082969,0.0184775287499643,458,20,120.8,0.126119755,0.165364583333333,25,39,1016,69.99,87,8,0,6144,0,0
584669,0.0191204588910134,0.0253769911138345,523,16,77.0,0.57554101,0.38134765625,27,22,781,114.74,60,9,0,2048,0,0
360776,0.009508716323296359,0.0193968195500005,631,23,85.4,0.590359394,0.0,33,34,0,126.11,90,8,0,4096,2,0
178666,0.0196078431372549,0.0170342051083131,459,29,52.0,0.280732339,0.28857421875,23,47,591,126.55,73,12,0,2048,0,0
511446,0.0157303370786517,0.0166980445360564,445,25,61.3,0.477337418,0.1328125,23,38,544,143.07,61,11,0,4096,2,0
515896,0.0177619893428064,0.0258144314655229,563,38,67.4,0.548771407,0.0934244791666667,32,43,574,122.66,76,9,0,6144,2,0
264697,0.0189035916824197,0.016348924810167,529,37,98.9,0.595898673,0.6708984375,26,29,1374,115.29,63,12,0,2048,1,0
546494,0.0149625935162095,0.0166425100761798,401,29,82.4,0.7140736990000001,0.3681640625,29,39,1508,119.67,53,10,0,4096,0,0
390435,0.0195694716242661,0.0260473323580885,511,28,85.8,0.755697721,0.16162109375,26,37,993,82.17,64,13,0,6144,2,0
318302,0.0230414746543779,0.0177436403592693,434,28,67.0,0.6952925190000001,0.0348307291666667,44,39,214,145.28,72,12,0,6144,1,0
479708,0.0197530864197531,0.0193614887222597,405,23,82.2,0.677932753,0.31396484375,21,37,643,97.03,77,8,0,2048,2,0
664327,0.0284463894967177,0.0103819636366928,457,14,27.9,0.7632305429999999,0.236083984375,24,51,967,43.74,83,8,0,4096,1,0
931368,0.0281995661605206,0.0229701016630402,461,20,76.2,0.578274481,0.37255859375,24,40,763,139.84,87,9,0,2048,1,0
682173,0.0199637023593466,0.0217763208890174,551,20,71.8,0.052555223,0.7958984375,28,18,1630,130.06,55,11,0,2048,0,0
158093,0.013136288998358,0.0183142043917217,609,30,84.7,0.280732339,0.7177734375,31,46,1470,37.19,78,12,0,2048,0,0
456640,0.0218978102189781,0.0114048571290026,411,26,51.1,0.5766812729999999,0.114583333333333,21,49,704,132.66,52,12,0,6144,0,0
947814,0.0364077669902913,0.00833113764900685,412,20,60.3,0.7292331459999999,0.2919921875,25,48,598,160.34,77,7,0,2048,2,0
154975,0.0250569476082005,0.0162092169992799,439,34,64.6,0.480935685,0.47119140625,36,30,965,110.22,117,9,0,2048,1,0
358631,0.0125,0.015950006456591004,640,15,58.9,0.180675803,0.230224609375,32,27,943,66.63,84,11,0,4096,0,0
875885,0.0198511166253102,0.0209713125849197,403,9,38.9,0.180675803,0.00520833333333333,22,53,32,129.1,29,12,0,6144,1,0
552977,0.01620029455081,0.0207552950564975,679,31,69.1,0.666347695,0.0574544270833333,39,55,353,134.1,73,7,0,6144,1,0
326748,0.0415512465373961,0.0223264180115538,361,28,87.1,0.477337418,0.088623046875,19,24,363,81.34,77,8,0,4096,1,1
77488,0.0161550888529887,0.0088682153150419,619,38,90.4,0.856387665,0.1015625,32,59,416,91.77,81,5,0,4096,1,0
208037,0.0182232346241458,0.00928148124828315,439,22,71.6,0.548771407,0.146240234375,22,36,599,101.64,55,11,0,4096,0,0
814420,0.0274599542334096,0.0143968195500004,437,27,40.3,0.696959938,0.13525390625,24,38,554,65.35,78,9,0,4096,2,0
212486,0.0194931773879142,0.0229812616027869,513,14,62.1,0.691894965,0.0,32,36,0,97.45,65,7,0,2048,0,0
922628,0.014827018121911,0.0113004516180784,607,17,65.1,0.7251544259999999,0.3515625,32,55,720,164.47,90,9,0,2048,2,0
586472,0.019438444924406,0.0222107392165747,463,35,53.7,0.637194809,0.137044270833333,27,51,842,106.03,125,7,0,6144,1,0
473475,0.0332225913621262,0.0153188358546684,301,25,67.6,0.649688725,0.30777994791666696,16,38,1891,119.45,76,9,0,6144,1,0
324314,0.018000000000000002,0.0136121885901642,500,27,66.0,0.465253994,0.11181640625,26,58,229,123.52,75,8,0,2048,0,0
840797,0.026378896882494,0.00953188687506913,417,37,61.7,0.736806298,0.0,21,41,0,117.77,61,9,0,6144,4,0
560152,0.0155210643015521,0.0207642392663731,451,19,110.8,0.480935685,0.246337890625,24,23,1009,112.59,88,8,0,4096,1,0
949534,0.0188034188034188,0.0214474315867137,585,35,55.2,0.6793432159999999,0.192220052083333,31,27,1181,128.46,95,7,0,6144,2,0
651029,0.02734375,0.018170744359957,512,29,71.8,0.590359394,0.0654296875,29,35,268,94.15,65,10,0,4096,1,1
137903,0.009273570324574959,0.019180577064339,647,22,78.0,0.206129064,0.222900390625,33,42,913,141.71,100,6,0,4096,1,0
170165,0.0280373831775701,0.0195393017825253,428,32,66.5,0.180675803,0.30615234375,24,40,627,79.77,40,9,0,2048,0,0
311673,0.0196078431372549,0.0198701016630402,510,23,61.9,0.68596116,0.13525390625,38,51,277,76.66,59,12,0,2048,2,0
661201,0.00509337860780985,0.0259022002073661,589,28,71.8,0.787542904,0.17822265625,33,41,730,113.52,58,7,0,4096,1,0
205145,0.0213464696223317,0.0159641848627448,609,26,100.6,0.764495202,0.0,32,42,0,160.01,79,10,0,6144,1,1
974346,0.0287081339712919,0.0130642446538675,418,28,85.5,0.480935685,0.35107421875,21,35,1438,150.16,66,9,0,4096,0,0
216121,0.0121527777777778,0.0169128591411497,576,20,74.3,0.688403005,0.14208984375,31,57,873,132.69,59,10,0,6144,2,0
630076,0.0214424951267057,0.0156487298507446,513,34,114.8,0.7292331459999999,0.154541015625,29,49,633,99.89,47,7,0,4096,2,0
151932,0.0316622691292876,0.0229054143365704,379,23,41.7,0.494816793,0.43505859375,19,50,891,150.32,30,11,0,2048,1,0
303176,0.0285087719298246,0.0207305074520255,456,36,70.7,0.753356481,0.0462239583333333,24,33,284,95.0,56,13,0,6144,2,1
887524,0.0132547864506627,0.0159262943975644,679,24,85.0,0.280732339,0.33154296875,45,44,679,94.79,87,11,0,2048,1,0
794130,0.0156918687589158,0.015931965490377,701,23,75.0,0.713182599,0.0965169270833333,37,23,593,96.66,83,7,0,6144,1,0
945727,0.032520325203252,0.010587138958746,369,24,62.8,0.753356481,0.9365234375,19,57,1918,118.9,100,8,0,2048,2,0
656323,0.0164744645799012,0.0121347048269,607,21,66.0,0.494816793,0.0706380208333333,31,44,434,105.17,34,9,0,6144,0,0
41051,0.01417004048583,0.0249943215968403,494,29,62.5,0.494816793,0.464111328125,26,56,1901,121.79,56,9,0,4096,2,0
142181,0.0199667221297837,0.0116383489141724,601,28,57.3,0.67244134,0.24169921875,38,36,990,118.06,70,8,0,4096,2,0
890763,0.0155367231638418,0.0136251744702199,708,23,85.7,0.692426419,0.02197265625,40,41,45,93.61,60,8,0,2048,0,0
808458,0.0143112701252236,0.0152861398940312,559,31,91.5,0.67244134,0.486328125,28,37,996,107.64,65,11,0,2048,1,0
968705,0.0225806451612903,0.0155844617805561,620,24,66.3,0.570390095,0.0330403645833333,43,32,203,143.1,107,10,0,6144,0,0
723232,0.0185185185185185,0.0178188643931782,540,30,55.9,0.180675803,0.1552734375,28,45,954,92.55,44,9,0,6144,3,0
616673,0.0165441176470588,0.0224626936865868,544,24,31.2,0.771366181,0.0693359375,35,49,426,93.42,75,8,0,6144,0,0
13083,0.0240700218818381,0.0132226678669496,457,18,88.1,0.7603546409999999,0.0,28,40,0,108.36,60,12,0,6144,1,0
434742,0.0244399185336049,0.0184900748592653,491,39,56.8,0.504723331,0.09619140625,39,42,197,99.72,67,8,0,2048,2,0
672745,0.0188034188034188,0.0177987188999519,585,36,83.5,0.787542904,0.7763671875,32,41,1590,148.79,34,11,0,2048,1,0
180048,0.0134907251264755,0.00730613378021289,593,31,58.0,0.494816793,0.2802734375,36,56,1148,119.17,59,12,0,4096,1,0
345204,0.0153061224489796,0.0167708305122347,588,18,83.6,0.57554101,0.4755859375,37,47,974,133.76,92,10,0,2048,0,0
967781,0.0250481695568401,0.0115017756034994,519,8,70.7,0.480935685,0.1025390625,27,41,420,155.23,106,13,0,4096,1,0
195804,0.0160427807486631,0.00702748383668035,374,25,40.7,0.740975301,0.130696614583333,20,53,803,61.1,79,8,0,6144,3,0
787418,0.0189075630252101,0.0201415996959643,476,23,94.2,0.696959938,0.3408203125,28,33,698,147.49,80,10,0,2048,0,0
841507,0.0200445434298441,0.0214721452903336,449,28,75.7,0.206129064,0.7216796875,24,60,1478,155.74,66,11,0,2048,1,0
160030,0.0240740740740741,0.0230911396572898,540,30,53.9,0.206129064,0.43017578125,30,24,881,136.22,44,6,0,2048,0,0
274975,0.0207006369426752,0.0110093211962345,628,28,83.6,0.504723331,0.141357421875,32,36,579,114.51,76,12,0,4096,1,0
443079,0.0231362467866324,0.0220521582300738,389,42,62.0,0.592689247,0.2529296875,21,40,1036,49.06,83,9,0,4096,2,0
990478,0.0169491525423729,0.0208436403592693,472,21,75.1,0.504723331,0.241536458333333,29,63,1484,112.87,98,10,0,6144,0,0
631844,0.0156521739130435,0.0210603480297907,575,30,55.9,0.649688725,0.42138671875,33,39,1726,114.03,92,14,0,4096,0,0
442625,0.0240963855421687,0.01605816288879,415,35,53.5,0.505495235,0.1865234375,21,48,1146,112.45,92,10,0,6144,0,0
668487,0.0203327171903882,0.0154465109367143,541,29,57.7,0.677932753,0.1181640625,27,44,726,67.73,70,10,0,6144,1,0
546798,0.0159680638722555,0.030265639100081006,501,38,90.0,0.82300172,0.15869140625,33,51,325,70.37,68,12,0,2048,2,0
301843,0.0242290748898678,0.0177810906522197,454,19,54.4,0.744360902,0.0556640625,26,37,342,73.37,59,11,0,6144,1,0
887693,0.0139165009940358,0.0225138518239581,503,28,85.2,0.578274481,0.142903645833333,25,37,878,100.69,48,12,0,6144,1,0
584597,0.0174216027874564,0.0204791744521512,574,6,58.0,0.493775228,0.08740234375,31,59,358,147.15,55,11,0,4096,2,0
686480,0.0153846153846154,0.0212367186186605,520,31,39.4,0.206129064,0.101318359375,28,44,415,98.32,62,11,0,4096,1,0
961050,0.0201612903225806,0.0236394781919386,496,38,54.6,0.736806298,0.5068359375,27,54,1038,96.1,59,11,0,2048,3,0
105404,0.0173745173745174,0.0229840500503507,518,30,73.9,0.7467135090000001,0.50439453125,31,37,1033,77.32,42,6,0,2048,0,0
484464,0.0201342281879195,0.0205855929546057,447,28,63.2,0.6581196579999999,0.185546875,23,52,760,112.65,95,12,0,4096,1,0
578969,0.0164319248826291,0.0176665158165647,426,27,80.6,0.798810583,0.0485026041666667,22,66,298,100.18,59,8,0,6144,0,0
401246,0.0077922077922077905,0.0212214164927738,385,23,62.4,0.518515331,0.155029296875,22,58,635,121.8,56,10,0,4096,1,0
894866,0.0183333333333333,0.0222326619699924,600,22,73.6,0.701120968,0.033203125,36,36,136,36.82,51,9,0,4096,1,0
325548,0.0124555160142349,0.0254932872733867,562,29,56.2,0.701120968,0.203776041666667,38,52,1252,116.79,79,14,0,6144,0,0
431868,0.0205371248025276,0.008203199792164,633,28,50.2,0.592689247,0.71240234375,39,47,1459,140.99,79,9,0,2048,3,0
862028,0.0132013201320132,0.0213335034111547,606,31,86.5,0.762236806,0.239908854166667,32,45,1474,118.05,51,10,0,6144,0,0
466010,0.0354838709677419,0.0164287914778147,310,34,55.5,0.206129064,0.30615234375,16,31,1254,108.48,89,10,0,4096,1,0
692512,0.0318906605922551,0.0187420724412909,439,18,63.2,0.699822899,0.080322265625,22,44,329,90.23,41,9,0,4096,2,0
